番号,80008
名前,姐ヶ崎 寧々,
呼び名,寧々,

基礎,0,1800
基礎,1,1700

;初期設定素質,
素質,處女
素質,剛強
素質,坦率
素質,文靜
素質,慈愛
素質,樂觀的
素質,看重貞操
素質,愛表現
素質,克制
素質,容易濕
素質,擅用舌頭
素質,獻身的
素質,爆乳
素質,頭髮顏色,3
素質,頭髮狀態,3
素質,頭髮長度,101
素質,頭髮修剪方式,3
素質,髮型,1
素質,體型,210
素質,乳頭,4
素質,目,8
素質,瞳色,2
素質,唇,3
素質,陰毛狀態,155
素質,陰毛生長極限,500
素質,成為勇者前的生活,1
素質,成為勇者的契機,12
素質,不怕臟
素質,種族,0
素質,容易陷落

;初期設定能力,
能力,學習能力,5
能力,運動能力,3
能力,戰鬥能力,4
能力,感性,4
刻印,異界綜合徵,5

;初期設定キャラクターフラグ,
CFLAG,1,1
CFLAG,9,1
CFLAG,11,15
CFLAG,12,15
CFLAG,13,15
CFLAG,14,15
CFLAG,16,-1
CFLAG,41,17;上著のタイプ
CFLAG,42,101;特別コスチュームのタイプ
CFLAG,45,0
CFLAG,46,0
CFLAG,151,99
CFLAG,420,1
CFLAG,450,1,;一人稱
CFLAG,451,18
CFLAG,452,18
CFLAG,453,1670,;身長（cm*10）
CFLAG,454,524,;體重（kg*10）
CFLAG,455,900,;B*10
CFLAG,456,680,;W*10
CFLAG,457,910,;H*10
CFLAG,999,3;稀有度

;初期設定経験,

;弱み屬性　0 弱み無、1 弱みあり、CSTR,41に內容記述
;CFLAG,1003,0
;友人
;憧れ・友情
;苦手


;CSTR,30,姐ヶ崎 寧々

;CSTR,32,「デキシーズ」で打工をしている高校3年生。一人稱は「私」。チャームpointは右目の淚痣。
;CSTR,33,大人びている性格・容姿のせいで人に頼られがちであり、面倒見がよく責任感も強いため、ついついその期待に応えてしまうが、本人はそれを少々負擔に感じているところもある。
;CSTR,34,血型はO型。誕生日は4月20日。星座は牡羊座。趣味は家務、ホラー映畫の鑑賞。
;CSTR,35,のど飴が好きで、お腹を空かせた動物にのど飴をあげようとするなど、坦率な性格である。家族構成は會社員の父親、専業主婦の母親の3人家族。
;CSTR,40,「デキシーズ」の打工


